Date, Time, Type, Category, Item, Amount, Currency, Bank, Card No., Account No., Payment Method, Tags, Merchant, Sender, Recipient, Remarks, Serial Number, Warranty
"26/11/2022","1:05:08 am","Expense","Tech","Product Name",946,"SGD","DBS","","","PayNow","","Samsung","","","Provident fugit quia provident suscipit fugiat ullam necessitatibus quidem.","","60"
"13/12/2022","6:37:26 am","Expense","Shopping","Product Name",46,"SGD","OCBC","6940","123-456-7890","Debit Card","","Zalora","","","Sed maiores at.","","365"
"12/12/2022","1:15:59 am","Expense","Food","",36,"SGD","OCBC","","","Apple Pay","","Kazan Ramen","","","Consequuntur molestiae cupiditate.","",""
"05/11/2022","6:05:45 am","Expense","Transport","",0,"SGD","OCBC","","","Apple Pay","","Gojek","","","Veritatis veniam est accusamus pariatur minus suscipit eum asperiores.","",""
"02/12/2022","6:09:52 pm","Expense","Transport","",2,"SGD","OCBC","","","PayLah","","SMRT","","","Officiis sed veritatis corrupti.","",""
"11/12/2022","6:41:05 pm","Expense","Transfer","",28,"SGD","DBS","","","PayPal","","","","Ethan","Porro quasi pariatur iusto accusantium.","",""
"31/12/2022","3:41:11 am","Expense","Transfer","",36,"SGD","OCBC","","","PayLah","","","","Ethan","Nostrum eius perspiciatis repellendus excepturi non quae.","",""
"03/11/2022","10:56:54 am","Expense","Games","",14,"SGD","OCBC","6940","123-456-7890","Debit Card","","Steam","","","Necessitatibus repellendus maxime.","",""
"04/12/2022","9:38:00 pm","Expense","Transfer","",20,"SGD","OCBC","","","Google Pay","","","","Wai Hang","Nisi sequi ut commodi rem ipsum repellendus libero.","",""
"14/11/2022","1:26:40 am","Expense","Transfer","",22,"SGD","OCBC","","","PayNow","","","","Paul","Natus cupiditate doloribus ipsa reiciendis.","",""
"23/12/2022","10:09:13 am","Expense","Food","",24,"SGD","DBS","","","Apple Pay","","Starbucks","","","Iure sapiente maxime eius vel.","",""
"29/11/2022","2:28:03 pm","Expense","Health","",36,"SGD","DBS","","","Apple Pay","","Guardian","","","Aliquid repellendus fugit doloribus nam ut odio magnam dicta voluptate.","",""
"23/12/2022","1:38:23 pm","Expense","Health","",32,"SGD","OCBC","1390","098-765-4321","Credit Card","","Unity","","","Eligendi sequi similique consectetur ipsam explicabo.","",""
"29/11/2022","6:36:23 am","Expense","Health","",36,"SGD","DBS","6940","123-456-7890","Debit Card","","Guardian","","","Ipsa amet fuga iste quasi et culpa excepturi tempore.","",""
"02/12/2022","11:34:59 pm","Expense","Games","",50,"SGD","OCBC","1390","098-765-4321","Credit Card","","Steam","","","Odio aliquid quos delectus sunt in ex.","",""
"03/12/2022","2:01:04 pm","Expense","Shopping","Product Name",10,"SGD","OCBC","1390","098-765-4321","Credit Card","","Qoo10","","","Placeat quaerat praesentium dolores ullam quia tenetur.","zk2ns2milhdv",""
"20/11/2022","4:54:43 pm","Expense","Shopping","Product Name",40,"SGD","OCBC","1390","098-765-4321","Credit Card","","Qoo10","","","Ut nobis expedita placeat libero repudiandae fugiat est aliquam non.","","30"
"11/12/2022","8:15:37 pm","Expense","Transfer","",18,"SGD","OCBC","","","Apple Pay","","","","Ethan","Placeat modi facilis reiciendis distinctio quia.","",""
"25/12/2022","9:40:14 pm","Expense","Shopping","Product Name",34,"SGD","OCBC","6940","123-456-7890","Debit Card","","Amazon","","","Illo sed ut illo perferendis.","","90"
"21/12/2022","8:00:06 am","Expense","Games","",14,"SGD","OCBC","","","PayLah","","Steam","","","Rerum fuga reiciendis cupiditate velit officia a.","",""
"03/11/2022","10:11:48 am","Expense","Food","",26,"SGD","DBS","","","PayNow","Delivery","Subway","","","Animi quidem deserunt ratione ipsam repellat inventore quisquam.","",""
